"","Asellus_aquaticus","Daphnia_magna","Dikerogammarus_villosus","Homo_sapiens","Hymenoptera","Osmia_bicornis","Philodina_roseola"
"DvD36.4.2",0,0,20842,0,0,0,0
"DvA4.1.2",174,0,13735,0,0,0,0
"DvA0.1.2",142,0,9565,0,0,0,0
"DvA36C.2",0,0,29170,0,0,0,0
"DvA24C.2",0,0,37588,0,0,0,0
"DvA12C.2",0,0,37158,0,0,0,0
"DvA8C.2",0,0,27708,0,0,0,0
"DvA4C.2",0,0,33319,0,0,0,0
"DvA12.2.2",7941,0,22912,0,0,0,0
"DvA8.2.2",7766,0,15806,0,0,0,0
"DvA4.2.2",2353,0,16479,0,0,0,0
"DvA0.2.2",98,0,41139,0,0,0,0
"DvA36.1.2",12039,0,16391,0,0,0,0
"DvA24.1.2",114,0,14275,0,0,0,0
"DvA12.1.2",6896,0,9709,0,0,0,0
"DvA36.4.2",52,0,27702,0,0,0,0
"DvA24.4.2",4011,0,12119,0,0,0,0
"DvA12.4.2",70,0,22024,0,0,0,0
"DvA4.4.2",4806,0,19009,0,0,0,0
"DvA0.4.2",222,0,17151,0,0,0,0
"DvD0.2.3",0,0,30035,0,0,0,0
"DvD12.1.3",0,0,29210,0,0,0,0
"DvD8.1.3",0,0,23129,0,0,0,0
"DvD4.1.3",0,0,28174,0,0,0,0
"DvD0.1.3",0,0,26942,0,0,0,0
"DvD8C.3",0,0,28065,0,0,0,0
"DvD4C.3",0,0,15049,0,0,0,0
"DvD0C.3",0,0,17274,0,0,0,0
"DvD8.3.3",0,0,33043,0,0,0,0
"DvD4.3.3",0,0,27284,0,0,0,0
"DvD0.3.3",0,0,33191,0,0,0,0
"DvD36.2.3",0,0,37860,0,0,0,0
"DvD24.2.3",0,0,31044,0,0,0,0
"DvD12.2.3",0,0,28058,0,0,0,0
"DvD8.2.3",0,0,28870,0,0,0,0
"DvD4.2.3",0,102,15205,0,0,0,0
"DvD24.4.3",0,0,29282,0,0,0,0
"DvD12.4.3",0,0,32145,0,0,0,0
"DvD8.4.3",0,0,31721,0,0,0,0
"DvD4.4.3",0,0,29488,0,0,0,0
"DvD0.4.3",0,0,32841,0,0,0,0
"DvD36.3.3",0,0,31398,0,0,0,0
"DvD24.3.3",0,0,32703,0,0,0,0
"DvD12.3.3",0,0,19108,0,0,0,0
"DvA0C.3",0,0,25269,0,0,0,0
"DvD36.5.3",0,0,23965,0,0,0,0
"DvD24.5.3",0,0,21382,0,0,0,0
"DvD12.5.3",0,0,17917,0,0,0,0
"DvD4.5.3",0,0,18295,0,0,0,0
"DvD36.4.3",0,0,12272,0,0,0,0
"DvA4.1.3",70,0,8269,0,0,0,0
"DvA0.1.3",108,0,24365,0,0,0,0
"DvA36C.3",0,0,16599,0,0,0,0
"DvA24C.3",0,0,26278,0,0,0,0
"DvA12C.3",0,0,22874,0,0,0,0
"DvA8C.3",0,0,16508,0,0,0,0
"DvA4C.3",0,0,22178,0,0,0,0
"DvA24.2.3",649,0,26278,0,0,0,0
"DvA12.2.3",6031,0,19138,0,0,0,0
"DvA8.2.3",6871,0,20870,0,0,0,0
"DvA4.2.3",4662,0,22204,0,0,0,0
"DvA0.2.3",71,0,27407,0,0,0,0
"DvA36.1.3",7368,0,11550,0,0,0,0
"DvA36.4.3",69,0,27049,0,0,0,0
"DvA24.4.3",4501,0,16439,0,0,0,0
"DvA12.4.3",95,0,24629,0,0,0,0
"DvA8.4.3",2065,0,17136,0,0,0,0
"DvA4.4.3",5562,0,15918,0,0,0,0
"DvA0.4.3",623,0,21010,0,0,0,0
